hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 15.7621, 23.5161, 15.4798, 24.6347, 15.3581, 23.1581, 0, 0
2, 0.00000, 15.7622, 23.5162, 15.4799, 24.6347, 15.3582, 23.1581, 0, 0
3, 0.00000, 17.8114, 23.6478, 17.5254, 24.6203, 17.4098, 23.3148, 0, 0
4, 0.00000, 18.2586, 23.6757, 17.9716, 24.6202, 17.8576, 23.3468, 0, 0
5, 0.00000, 19.5058, 23.7517, 19.2162, 24.6246, 19.1066, 23.433, 0, 0
6, 0.00000, 20.3576, 23.8027, 20.0662, 24.6311, 19.9599, 23.4894, 0, 0
7, 0.00000, 19.4166, 24.0119, 19.3982, 23.8962, 19.4414, 23.9072, 0, 0
8, 0.00000, 21.1288, 24.0954, 21.1069, 23.9678, 21.1585, 23.9802, 0, 0
9, 0.00000, 24.0967, 24.2405, 24.0674, 24.0922, 24.1361, 24.1062, 0, 0
10, 0.00000, 25.4196, 24.306, 25.3864, 24.1476, 25.4638, 24.1622, 0, 0
11, 0.00000, 39.47, 25.0052, 39.3773, 24.7304, 39.5874, 24.7517, 0, 0
12, 0.00000, 36.5675, 24.86, 36.4902, 24.6107, 36.6665, 24.6308, 0, 0
13, 0.00000, 38.3044, 24.9458, 38.2184, 24.6823, 38.4137, 24.7031, 0, 0
14, 0.00000, 40.1459, 25.0394, 40.0492, 24.7581, 40.2679, 24.7798, 0, 0
15, 0.00000, 40.1768, 25.041, 40.0798, 24.7594, 40.2991, 24.781, 0, 0
16, 0.00000, 42.4598, 25.1563, 42.3489, 24.853, 42.5987, 24.8757, 0, 0
17, 0.00000, 41.5844, 25.113, 41.4786, 24.8171, 41.7171, 24.8394, 0, 0
18, 0.00000, 43.9963, 25.0857, 43.6049, 25.2588, 43.6872, 24.7273, 0, 0
19, 0.00000, 43.045, 25.0365, 42.6593, 25.2267, 42.7302, 24.6833, 0, 0
20, 0.00000, 29.2159, 24.302, 28.8986, 24.7999, 28.8396, 24.0036, 0, 0
21, 0.00000, 28.5572, 24.2658, 28.2424, 24.7831, 28.1788, 23.9686, 0, 0
22, 0.00000, 24.7051, 24.053, 24.4025, 24.6958, 24.3163, 23.7549, 0, 0
23, 0.00000, 21.6955, 23.8818, 21.4008, 24.646, 21.3003, 23.5746, 0, 0
24, 0.00000, 15.8604, 23.5231, 15.5778, 24.6334, 15.4565, 23.1657, 0, 0
